id,stationName,stationPosX,stationPosY,lines,connectedStations,changeLineDistenceInfos
553,상일동,214405.629210000000000,450812.826929999000000,5,,
549P,둔촌동,211784.777689999000000,447606.231649999000000,5,,
550P,올림픽공원,211317.290869999000000,446319.510599999000000,5,,
551P,방이,210891.477799999000000,445493.369349999000000,5,,
553P,개롱,211663.984859999000000,444308.243420000000000,5,,
554P,거여,212472.866210000000000,443769.047160000000000,5,,
555P,마천,213251.485799999000000,443965.562080000000000,5,,
610,응암,192288.643539999000000,455460.565839999000000,6,,
611,역촌,192921.489980000000000,456286.699640000000000,6,,
613,독바위,193832.662910000000000,457657.512760000000000,6,,
615,구산,192439.099110000000000,456859.691140000000000,6,,
610,응암,192288.643539999000000,455460.565839999000000,6,,
616,새절,192115.707900000000000,454631.822189999000000,6,,
617,증산,191736.970499999000000,453793.294140000000000,6,,
618,디지털미디어시티,191034.920940000000000,452959.558510000000000,6,,
619,월드컵경기장,190850.428220000000000,452225.175310000000000,6,,
620,마포구청,191205.697439999000000,451569.003949999000000,6,,
621,망원,191801.131109999000000,450732.852569999000000,6,,
623,상수,192936.429330000000000,449809.729430000000000,6,,
624,광흥창,193735.981260000000000,449781.365200000000000,6,,
625,대흥,194637.178899999000000,449811.824499999000000,6,,
627,효창공원앞,196329.579980000000000,448871.084819999000000,6,,
629,녹사평,198568.558430000000000,448364.456729999000000,6,,
630,이태원,199248.090109999000000,448339.970930000000000,6,,
631,한강진,199895.807999999000000,448904.753670000000000,6,,
632,버티고개,200359.637450000000000,449832.422719999000000,6,,
637,창신,201093.290160000000000,453317.865939999000000,6,,
638,보문,201456.126400000000000,453978.164590000000000,6,,
639,안암,202310.014179999000000,454086.012670000000000,6,,
640,고려대,202947.404999999000000,454538.961950000000000,6,,
641,월곡,203407.774200000000000,455825.222620000000000,6,,
642,상월곡,204025.527369999000000,456321.523749999000000,6,,
643,돌곶이,204727.090399999000000,456781.302429999000000,6,,
644,석계,205540.635819999000000,457305.576989999000000,6,,
645,태릉입구,206341.953830000000000,457534.756600000000000,6&7,,6to7-46
646,화랑대,207116.704850000000000,457812.814850000000000,6,,
647,봉화산,207813.386250000000000,457536.046770000000000,6,,
709,장암,204429.339609999000000,466733.601889999000000,7,,
710,도봉산,203847.129090000000000,465516.000630000000000,7,,
711,수락산,204623.885570000000000,464236.981239999000000,7,,
712,마들,204835.540620000000000,462813.419409999000000,7,,
714,중계,205415.730470000000000,460570.075089999000000,7,,
715,하계,205747.276190000000000,459648.187220000000000,7,,
716,공릉,206186.780789999000000,458448.984319999000000,7,,
718,먹골,206604.719979999000000,456791.505660000000000,7,,
719,중화,206743.177700000000000,455898.357120000000000,7,,
720,상봉,207315.087150000000000,455124.324510000000000,7,,
721,면목,207475.625130000000000,454338.845339999000000,7,,
722,사가정,207559.414760000000000,453497.816150000000000,7,,
723,용마산,207405.609170000000000,452689.857179999000000,7,,
724,중곡,207192.639640000000000,451829.696409999000000,7,,
726,어린이대공원,206343.594730000000000,449840.520290000000000,7,,
728,뚝섬유원지,205642.486629999000000,448021.313540000000000,7,,
729,청담,204324.766070000000000,446633.458779999000000,7,,
730,강남구청,203392.403300000000000,446421.066470000000000,7,,
731,학동,202555.488749999000000,446100.066440000000000,7,,
732,논현,201631.892209999000000,445742.513809999000000,7,,
733,반포,200772.742659999000000,445418.359890000000000,7,,
735,내방,199181.421200000000000,443143.602529999000000,7,,
737,남성,197176.808120000000000,442823.315650000000000,7,,
738,숭실대입구,195642.395710000000000,444103.336349999000000,7,,
739,상도,195137.092340000000000,444830.408100000000000,7,,
740,장승배기,194358.405780000000000,445056.135859999000000,7,,
741,신대방삼거리,193397.926429999000000,444480.926110000000000,7,,
742,보라매,192676.544880000000000,444505.925249999000000,7,,
743,신풍,191780.115909999000000,444524.496340000000000,7,,
745,남구로,189771.402230000000000,442967.656720000000000,7,,
746,가산디지털단지,189358.733789999000000,442477.711720000000000,7,,
747,철산,188082.734779999000000,441869.119579999000000,7,,
748,광명사거리,186901.788280000000000,442222.616949999000000,7,,
749,천왕,185481.245579999000000,443057.158739999000000,7,,
750,온수,184125.942639999000000,443642.156039999000000,7,,
751,까치울,183023.922729999000000,445222.198080000000000,7,,
752,부천종합운동장,181830.336780000000000,445135.922100000000000,7,,
753,춘의,180919.362859999000000,444940.426749999000000,7,,
754,신중동,179960.908830000000000,444871.642119999000000,7,,
755,부천시청,178881.060280000000000,445049.610849999000000,7,,
756,상동,177914.297669999000000,445185.255539999000000,7,,
757,삼산체육관,176924.417279999000000,445261.156090000000000,7,,
758,굴포천,176001.686240000000000,445319.227899999000000,7,,
759,부평구청,175134.641750000000000,445371.688599999000000,7,,
810,암사,211010.816090000000000,450082.962929999000000,8,,
812,강동구청,210399.576089999000000,447902.842650000000000,8,,
813,몽촌토성,209721.690239999000000,446487.229349999000000,8,,
815,석촌,209212.379580000000000,445106.262240000000000,8,,
816,송파,209657.760539999000000,444493.154559999000000,8,,
818,문정,210575.655339999000000,442949.694680000000000,8,,
819,장지,210910.971460000000000,442143.439650000000000,8,,
820,복정,210944.150569999000000,441138.167639999000000,8,,
821,산성,213005.324179999000000,439735.288890000000000,8,,
822,남한산성입구,213890.859040000000000,439169.722690000000000,8,,
823,단대오거리,213614.317390000000000,438423.597379999000000,8,,
824,신흥,212809.046369999000000,437969.579960000000000,8,,
825,수진,212212.394679999000000,437589.183109999000000,8,,
826,모란,211173.328219999000000,437162.720889999000000,8,,
