id,stationName,stationPosX,stationPosY,lines,connectedStations,changeLineDistenceInfos
133,서울역,197155.4142,450581.8317,1&4,132/425/427,4-159
132,시청,197570.0065,451570.3932,1&2,133/131/202/243,2-101
